 X, Y, W, T
0.39,-0.12,0.05,21.82
0.55,0.02,0.16,21.66
0.57,0.04,0.16,21.66
0.62,-0.1,0.1,21.69
0.77,0.03,0.16,21.7
0.68,-0.09,0.14,21.69
0.64,-0.11,0.17,21.69
0.5,0.03,0.14,21.77
0.57,0.19,0.26,21.7
0.53,-0.05,0.18,21.7
0.65,-0.04,0.09,21.69
0.49,-0.04,0.11,21.71
0.88,0.08,0.16,21.59
0.46,0.11,0.2,21.77
0.68,0.11,0.09,21.64
0.33,-0.08,0.16,21.81
0.81,0.1,0.05,21.57
0.64,0.02,0.11,21.65
0.4,-0.06,0.14,21.79
0.3,-0.1,0.07,21.86
0.28,-0.03,0.1,21.87
0.65,-0.01,0.16,21.63
0.82,0.02,0.05,21.59
0.64,0.06,0.2,21.74
0.47,0.02,0.14,21.86
0.13,-0.02,0.14,21.97
0.2,-0.16,0.12,21.83
0.45,-0.02,0.16,21.77
0.72,-0.05,0.12,21.75
0.64,0.08,0.13,21.75
0.75,0,0.14,21.74
0.71,-0.05,0.05,21.66
0.71,0.18,0.23,21.73
0.65,0.15,0.2,21.74
0.63,0.11,0.18,21.73
0.59,0.04,0.23,21.71
0.48,0.01,0.17,21.8
0.75,0.02,0.11,21.61
1,0.17,0.14,21.57
0.84,0.26,0.15,21.64
0.86,0.15,0.23,21.57
0.7,0.21,0.2,21.62
0.7,0.22,0.18,21.69
0.58,0.02,0.15,21.74
0.72,0.06,0.1,21.62
0.7,-0.03,0.12,21.64
0.62,0.04,0.08,21.65
0.79,0.11,0.11,21.61
0.69,0.06,0.1,21.68
0.87,0.03,0.15,21.68
0.7,0.19,0.22,21.65
0.84,0.19,0.17,21.62
0.83,0.13,0.16,21.68
0.69,0.29,0.14,21.77
0.9,0.11,0.16,21.65
0.78,0.11,0.13,21.69
0.85,0.24,0.1,21.64
0.79,0.18,0.2,21.66
0.78,0.2,0.16,21.71
0.67,0.04,0.21,21.78
0.83,0.18,0.26,21.59
0.54,0.14,0.27,21.78
0.57,-0.02,0.15,21.76
0.59,-0.1,0.09,21.76
0.49,-0.17,0.09,21.81
0.7,-0.02,0.08,21.75
0.79,0.02,0.02,21.7
0.68,-0.04,0.03,21.77
0.62,0.07,0.11,21.77
0.68,0.05,0.09,21.71
0.65,-0.08,0.02,21.77
0.66,0.04,0.17,21.73
0.53,0.04,0.01,21.75
0.72,0.14,0.16,21.69
0.8,0.09,0.15,21.69
0.63,0.04,-0.01,21.8
0.56,0.13,0.09,21.85
0.82,0.04,0.14,21.67
0.72,0.17,0.21,21.71
0.59,0.06,0.24,21.81
